1,North South University,12988.13,198.23,2158.65,0,188.5,622.71,661.02,0.95,1060.7
2,University of Science and Technology Chittagong,1156.67,29.64,981.34,17.34,8.69,101.34,199.61,43.73,20.53
3,Independent University Bangladesh,4043,504,6459,0,44,305,56,0,0
4,Central Womens University,63.65,0,269.35,0,0.16,4.91,527.46,0,41.32
5,International University of Business Agriculture and Technology,128.28,42.11,2754.92,0,74.19,61,176.26,690.85,434.63
6,International Islamic University Chittagong,1797.23,99.97,5150.95,0,660.02,29.29,128.82,2.63,647.78
7,Ahsanullah University of Science and Technology,163.78,48.1,4663.25,0,11.41,118.43,66.02,0.06,823.55
8,American International University Bangladesh,3740.33,30.91,7038.31,84.59,273.29,278.77,7038.64,177.61,7937.2
9,East West University,2058.68,166,6462.61,618.94,92.59,242.6,374.9,2.1,773.76
10,University of Asia Pacific,1196.94,39.08,2988.27,0,8.41,93.72,159.68,4.3,671.4
11,Gono University,126.89,47.26,1662.72,0,23.49,19.78,41.97,0,964.01
12,The Peoples University of Bangladesh,507.7,0,230.56,0,7.15,2.57,5.69,0,153.01
13,Asian University of Bangladesh,281.73,32.6,774.96,4.5,9.53,23.16,379.13,4.68,1334.27
14,Dhaka International University,582.21,20.74,1264.03,34.11,62.94,36.12,402.09,0.2,637.27
15,Manarat International University,1633.45,31.41,1207.85,0,31.66,30.99,134.41,0,0
16,Brac University,4826.62,3497.74,7049.37,13.87,203.6,299.54,662.7,16.71,1012.35
17,Bangladesh University,154.15,42.72,1112.21,0,5.05,30.53,31.44,3.2,102.11
18,Leading University,11.92,3.93,1349.54,0,30.23,225.49,797.78,0,5.07
19,Begum Gulchemonara Trust University,189.58,2.58,923.01,1,298.99,11.83,16.2,2.62,179.54
20,Sylhet International University,146.15,2.46,768.13,0,5.37,12.65,0.5,0,13.04
21,University of Development Alternative,627.87,62.23,714.27,6.35,20.37,15.23,45.37,3.02,155.18
22,Premier University,349.28,3.59,2027.38,21.34,2.73,89.19,540.27,0.3,460.37
23,South East University,2242.04,28.83,3934.04,0,20.04,115.74,101.08,0.12,30.89
24,Stamford University Bangladesh,2203.71,220.43,4122.7,0,41.04,121.17,298.49,5.71,53998
25,Daffodil International University,4193.05,396,7007,38.3,475.48,285.38,5704.36,1.18,0
